data,giornata,budget,schedine,numeri,somma
2026-08-30,Sunday,1.00,1,7-35-45-58-70-86,301
2026-08-30,Sunday,1.00,1,11-22-23-67-72-86,281
2026-08-30,Sunday,1.00,1,1-28-45-60-64-77,275
2026-08-30,Sunday,1.00,1,22-30-32-56-77-79,296
2026-08-30,Sunday,1.00,1,4-33-37-55-79-84,292
2026-08-30,Sunday,1.00,1,13-20-41-52-55-90,271
2026-08-30,Sunday,1.00,1,19-28-40-60-62-83,292
2026-08-30,Sunday,1.00,1,8-40-46-50-59-84,287
2026-08-30,Sunday,1.00,1,11-19-40-44-64-82,260
2026-08-30,Sunday,1.00,1,10-29-52-54-62-86,293
2026-08-30,Sunday,1.00,1,4-13-27-63-71-72,250
2026-08-30,Sunday,1.00,1,3-25-29-41-67-89,254
2026-08-30,Sunday,1.00,1,20-30-46-57-59-81,293
2026-08-30,Sunday,1.00,1,10-28-42-60-78-85,303
2026-08-30,Sunday,1.00,1,9-25-44-55-61-84,278
2026-08-30,Sunday,1.00,1,13-18-40-42-64-79,256
2026-08-30,Sunday,1.00,1,21-29-30-53-76-85,294
2026-08-30,Sunday,1.00,1,4-22-45-48-66-88,273
2026-08-30,Sunday,1.00,1,2-27-35-50-66-68,248
2026-08-30,Sunday,1.00,1,4-39-47-53-62-72,277
2026-08-30,Sunday,1.00,1,1-35-41-43-54-74,248
2026-08-30,Sunday,1.00,1,21-37-45-46-53-74,276
