data,concorso,n1,n2,n3,n4,n5,n6,jolly,superstar
1997-12-03,87,20,36,39,41,72,76,88,
1997-12-06,88,2,4,25,29,30,52,24,
1997-12-10,89,1,2,14,23,78,88,40,
1997-12-13,90,5,22,34,61,62,77,58,
1997-12-17,91,10,65,77,80,81,86,89,
1997-12-20,92,3,27,48,58,78,90,45,
1997-12-24,93,13,59,63,75,85,87,52,
1997-12-27,94,8,26,35,43,55,67,69,
1997-12-31,95,34,36,71,76,86,89,82,
1998-01-03,1,2,29,36,72,82,90,71,
1998-01-07,2,20,23,24,29,66,73,30,
1998-01-10,3,24,33,37,40,60,86,32,
1998-01-14,4,16,37,49,52,53,82,57,
1998-01-17,5,29,37,49,51,55,74,86,
1998-01-21,6,22,25,26,49,59,85,62,
1998-01-24,7,3,4,39,43,56,81,82,
1998-01-28,8,2,3,49,51,63,79,43,
1998-01-31,9,6,13,26,33,34,78,65,
1998-02-04,10,18,23,24,35,48,82,38,
1998-02-07,11,8,9,23,34,64,89,1,
1998-02-11,12,2,15,63,65,68,78,71,
1998-02-14,13,37,40,46,51,58,66,84,
1998-02-18,14,10,12,29,41,45,50,52,
1998-02-21,15,4,19,47,60,73,84,58,
1998-02-25,16,1,27,40,81,82,85,6,
1998-02-28,17,13,68,75,79,87,88,90,
1998-03-04,18,28,36,59,79,84,88,7,
1998-03-07,19,2,12,57,62,64,71,56,
1998-03-11,20,3,23,25,44,74,89,76,
1998-03-14,21,16,33,42,86,88,89,43,
1998-03-18,22,1,5,17,38,61,71,70,
1998-03-21,23,17,30,38,51,77,80,33,
1998-03-25,24,5,6,17,55,62,73,38,
1998-03-28,25,16,40,50,58,62,63,5,
1998-04-01,26,17,31,42,43,55,72,64,
1998-04-04,27,1,7,21,49,84,87,77,
1998-04-08,28,4,7,22,27,39,88,14,
1998-04-11,29,23,58,64,67,79,81,14,
1998-04-15,30,4,5,46,47,73,82,62,
1998-04-18,31,17,38,47,56,76,85,26,
1998-04-22,32,5,22,40,46,86,87,13,
1998-04-27,33,18,36,62,63,76,80,64,
1998-04-29,34,15,23,27,29,50,69,54,
1998-05-02,35,6,12,23,28,77,79,73,
1998-05-06,36,5,28,33,64,81,84,67,
1998-05-09,37,5,19,43,44,73,77,39,
1998-05-13,38,6,15,41,57,81,83,74,
1998-05-16,39,7,19,25,68,71,85,46,
1998-05-20,40,5,13,22,25,43,50,45,
